SO ID,Date,Item,Vendor,Additional Fabric Surcharge,Block Value,Fabric Quantity
9995-1,21/1/2019,AA Collection - (TSHL069),Jerome Clothiers,0,38,1.85
9995-1,21/1/2019,Basic CMT – Shirt,CMT - Basic,0,38,1.85
9994-1,21/1/2019,AA Collection - (TSHL059),Jerome Clothiers,0,34,1.70
9994-1,21/1/2019,Basic CMT – Shirt,CMT - Basic,0,34,1.70
9993-2,21/1/2019,AA Collection - (TSHL076),Jerome Clothiers,0,40,1.85
9993-2,21/1/2019,Basic CMT – Shirt,CMT - Basic,0,40,1.85
9993-1,21/1/2019,AA Collection - (TSHL073),Jerome Clothiers,0,40,1.85
9993-1,21/1/2019,Basic CMT – Shirt,CMT - Basic,0,40,1.85
9992-1,20/1/2019,AA Collection - (TSHL059),Jerome Clothiers,0,35,1.80
9992-1,20/1/2019,Basic CMT – Shirt,CMT - Basic,0,35,1.80
9989-3,20/1/2019,B Collection - (MS147NVS),Jerome Clothiers,0,37,2.02
9989-3,20/1/2019,Basic CMT – Shirt,CMT - Basic,0,37,2.02
9989-2,20/1/2019,A Collection - (TSHL027),Jerome Clothiers,0,37,1.80
9989-2,20/1/2019,Basic CMT – Shirt,CMT - Basic,0,37,1.80
9989-1,20/1/2019,A Collection - (TSHL060),Jerome Clothiers,0,37,1.80
9989-1,20/1/2019,Basic CMT – Shirt,CMT - Basic,0,37,1.80
9988-1,20/1/2019,CMT Item,Gladson,0,52,5.30
9988-1,20/1/2019,Basic CMT – 3 PC Suit,CMT - Basic,0,52,5.30
9987-1,20/1/2019,CMT Item,Gladson,0,54,3.90
9987-1,20/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,54,3.90
9986-2,20/1/2019,CMT Item,Gladson,0,46,2.30
9986-2,20/1/2019,Basic CMT – Shirt,CMT - Basic,0,46,2.30
9986-1,20/1/2019,CMT Item,Holland and Sherry,0,62,4.20
9986-1,20/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,62,4.20
9985-2,20/1/2019,CMT Item,Gladson,0,54,4.20
9985-2,20/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,54,4.20
9975-1,19/1/2019,A Collection - (TRG115),Jerome Clothiers,0,56,4.00
9975-1,19/1/2019,Basic CMT – 3 PC Suit,CMT - Basic,0,56,4.00
9974-1,19/1/2019,A Collection - (TRG115),Jerome Clothiers,0,50,4.50
9974-1,19/1/2019,Basic CMT – 3 PC Suit,CMT - Basic,0,50,4.50
9973-2,19/1/2019,D Collection - (TSHC017A),Jerome Clothiers,0,36,1.80
9973-2,19/1/2019,Basic CMT – Shirt,CMT - Basic,0,36,1.80
9973-1,19/1/2019,CMT Item,Harrisons,0,50,3.50
9973-1,19/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,50,3.50
9972-1,18/1/2019,CMT Item,Loro Piana,0,50,3.50
9972-1,18/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,50,3.50
9967-1,18/1/2019,CMT Item,Gladson,0,50,3.30
9967-1,18/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,50,3.30
9963-1,18/1/2019,AA Collection - (TRA021),Jerome Clothiers,0,52,3.50
9963-1,18/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,52,3.50
9959-2,18/1/2019,Lindley - (308-55),Dugdale Bros,0,48,3.40
9959-2,18/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,48,3.40
9959-1,18/1/2019,A Collection - (TSHL060),Jerome Clothiers,0,36,1.85
9959-1,18/1/2019,Basic CMT – Shirt,CMT - Basic,0,36,1.85
9958-2,17/1/2019,Royal Classic Vantage - (3465),Dugdale Bros,0,48,3.30
9958-2,17/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,48,3.30
9958-1,17/1/2019,Royal Classic Vantage - (3465),Dugdale Bros,0,44,1.40
9958-1,17/1/2019,Basic CMT – Waistcoat,CMT - Basic,0,44,1.40
9950-1,17/1/2019,A Collection - (TRG108),Jerome Clothiers,0,102,3.70
9950-1,17/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,102,3.70
9944-2,17/1/2019,CMT Item,Gladson,0,38,1.99
9944-2,17/1/2019,Basic CMT – Shirt,CMT - Basic,0,38,1.99
9944-1,17/1/2019,A Collection - (TSHL043),Jerome Clothiers,0,38,1.99
9944-1,17/1/2019,Basic CMT – Shirt,CMT - Basic,0,38,1.99
9939-1,16/1/2019,D Collection - (TRE1655),Jerome Clothiers,0,64,3.10
9939-1,16/1/2019,Basic CMT – Overcoat,CMT - Basic,0,64,3.10
9938-1,16/1/2019,A Collection - (TRG117),Jerome Clothiers,0,48,3.70
9938-1,16/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,48,3.70
9937-1,16/1/2019,BB Collection - (TRV49),Jerome Clothiers,0,48,3.70
9937-1,16/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,48,3.70
9930-2,16/1/2019,D Collection - (TSHC017A),Jerome Clothiers,0,37,1.80
9930-2,16/1/2019,Basic CMT – Shirt,CMT - Basic,0,37,1.80
9930-1,16/1/2019,D Collection - (TSHC017A),Jerome Clothiers,0,37,1.80
9930-1,16/1/2019,Basic CMT – Shirt,CMT - Basic,0,37,1.80
9929-1,16/1/2019,CMT Item,Loro Piana,0,50,3.50
9929-1,16/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,50,3.50
9928-1,15/1/2019,CMT Item,Loro Piana,0,52,2.00
9928-1,15/1/2019,Basic CMT – Jacket,CMT - Basic,0,52,2.00
9882-1,14/1/2019,BB Collection - (TRV44),Jerome Clothiers,0,52,2.00
9882-1,14/1/2019,Basic CMT – Jacket,CMT - Basic,0,52,2.00
9877-1,13/1/2019,CMT Item,Cerruti,0,42,3.40
9877-1,13/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,42,3.40
9876-2,13/1/2019,CMT Item,Cerruti,0,46,4.50
9876-2,13/1/2019,Basic CMT – 3 PC Suit,CMT - Basic,0,46,4.50
9876-1,13/1/2019,A Collection - (TSHL060),Jerome Clothiers,0,36,1.80
9876-1,13/1/2019,Basic CMT – Shirt,CMT - Basic,0,36,1.80
9875-2,13/1/2019,CMT Item,Gladson,0,37,1.80
9875-2,13/1/2019,Basic CMT – Shirt,CMT - Basic,0,37,1.80
9874-1,13/1/2019,CMT Item,Cerruti,0,48,3.30
9874-1,13/1/2019,Basic CMT – 2 PC Suit,CMT - Basic,0,48,3.30
9873-1,13/1/2019,CMT Item,Loro Piana,0,48,2.79
9873-1,13/1/2019,Basic CMT – Overcoat,CMT - Basic,0,48,2.79
9872-1,12/1/2019,C Collection - (M40034),Jerome Clothiers,0,48,3.50
